journal_id,paper_id
14,0
223,1
52,2
12,3
9,4
88,5
615,6
39,7
569,8
6,9
13,10
43,11
9,12
80,13
24,14
28,16
5,17
16,18
17,19
20,20
592,21
421,22
655,23
4,24
131,25
16,26
97,27
0,28
3,29
164,30
2,31
6,32
62,33
2,34
1,35
271,36
1259,37
102,38
704,39
4,40
359,41
39,42
17,43
115,44
89,45
134,46
44,47
105,48
19,49
145,50
91,51
70,52
3,53
541,54
1,55
440,56
61,57
57,58
14,59
239,60
10,61
121,62
8,63
101,64
82,66
233,67
656,68
1,69
161,70
6,71
0,72
73,73
26,74
13,75
168,76
100,77
27,78
67,79
127,80
2,81
19,82
124,83
3,84
50,85
36,86
10,87
66,88
67,89
389,90
14,91
7,92
39,93
381,94
66,95
6,96
1,97
18,98
96,99
59,100
73,102
332,103
76,104
8,105
85,106
25,107
146,108
15,109
93,110
122,111
171,112
17,113
83,114
2,115
14,116
4,117
26,118
79,119
67,120
250,121
3,122
66,123
365,124
55,125
64,126
11,127
0,128
25,129
10,130
11,131
104,132
148,133
43,134
5,135
13,136
93,137
91,138
2,139
163,140
83,141
5,142
116,143
5,144
35,145
133,146
47,147
44,148
300,149
69,150
1907,151
265,152
7,153
17,154
0,155
29,156
560,157
21,158
0,159
143,160
5,161
46,162
340,163
71,164
111,165
23,166
615,167
9,168
106,169
1,170
6,171
13,172
121,173
89,174
14,175
563,176
11,177
49,178
3,179
1,180
59,181
106,182
351,183
1284,184
310,186
0,187
16,189
2,190
38,191
26,192
59,193
415,194
44,195
11,196
13,197
8,198
313,199
21,200
346,201
88,202
0,203
84,204
1953,205
444,206
3,207
450,208
257,209
252,210
0,211
0,212
14,213
3,214
364,215
99,216
260,217
0,218
77,219
205,220
4,221
36,222
0,223
63,224
243,225
10,226
9,227
5,228
220,229
104,230
5,231
16,232
3,233
172,234
0,235
131,236
52,238
34,239
2,240
16,241
85,242
50,243
231,244
160,245
0,246
213,247
147,248
12,249
38,250
114,252
745,253
67,254
11,255
113,256
1365,257
111,258
32,259
618,260
31,261
93,262
3,263
6,264
0,265
39,266
5,267
8,268
73,269
124,270
49,271
29,272
